Address,Lat,Long,Description,Link
399-405 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803848,144.954241,Demolition of existing building;  construction of a four storey building with basements; use of the land for a residential hotel (serviced apartments) and restaurant and reduction in car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201528
55-57 Errol Street NORTH MELBOURNE VIC 3051,-37.80372,144.949039,Partial demolition and construction of alterations to shopfront,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201407
78 Erskine Street NORTH MELBOURNE VIC 3051,-37.7945353,144.9426172,Partial demolition of the existing dwelling and construction of a single storey extension to the rear,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201086
37 Errol Street NORTH MELBOURNE VIC 3051,-37.804119,144.949078,Construction and display of an internally illuminated business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200554
106 Leveson Street NORTH MELBOURNE VIC 3051,-37.801645,144.951689,Amendment to the existing planning permit to alter the design of the first floor,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200555
19 Curran Street NORTH MELBOURNE VIC 3051,-37.792688,144.943501,Buildings and works for the construction of a gate,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200426
19-35 Flemington Road NORTH MELBOURNE VIC 3051,-37.800685,144.955188,To display 6 teardrop flags on footpath,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200379
33 Elm Street NORTH MELBOURNE VIC 3051,-37.803964,144.946049,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199949
116-118 Errol Street NORTH MELBOURNE VIC 3051,-37.8022241,144.9502167,Subdivision in accordance with PS613688P,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199974
62 Curzon Street NORTH MELBOURNE VIC 3051,-37.803105,144.948361,Construction and display of business identification and promotional signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199863
93 Chapman Street NORTH MELBOURNE VIC 3051,-37.795911,144.947379,Construction of a vehicle crossover to a single dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199735
15 Canning Street NORTH MELBOURNE VIC 3051,-37.796806,144.945722,Construction of a retractable awning,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199628
15 Canning Street NORTH MELBOURNE VIC 3051,-37.796806,144.945722,Buildings and works including demolition to construct a two storey garage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199635
302-308 Arden Street NORTH MELBOURNE VIC 3051,-37.7995853,144.9374771,Use and development of a Research Centre and associated Substation,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199481
YHA Melbourne Oasis 76-78 Chapman Street NORTH MELBOURNE VIC 3051,-37.7954723,144.9475732,Subdivision in accordance with PS706390Y.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199492
27-31 Munster Terrace NORTH MELBOURNE VIC 3051,-37.803291,144.941992,"Use of building for an office, caretakers dwelling and reduction to car parking requirement",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199340
8-14 Howard Street NORTH MELBOURNE VIC 3051,-37.80509,144.954243,Buildings and works associated with the construction of a dwelling within the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199343
46 Villiers Street NORTH MELBOURNE VIC 3051,-37.799545,144.953459,To construct an eight-storey apartment building and the waiver of car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199209
47-51 Boundary Road NORTH MELBOURNE VIC 3051,-37.794162,144.938828,"Change of use to a food and drink premises, training college and a shared kitchen inlcuding internal works and a  reduction to the standard car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199137
41-61 Boundary Road NORTH MELBOURNE VIC 3051,-37.793831,144.938893,"Change of use to a food and drink premises, training college and a shared kitchen inlcuding internal works and a  reduction to the standard car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=199137
485-489 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803501,144.951311,External painting of the existing dwelling (front and western side walls only),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198789
65-67 Errol Street NORTH MELBOURNE VIC 3051,-37.80355,144.949215,Subdivision in accordance with PS721806H,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198626
253 Errol Street NORTH MELBOURNE VIC 3051,-37.79818,144.950145,"Buildings and works (including part demolition) for the construction of alterations to the existing dwelling, construction of a roller door and alterations to the front fence",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198633
69-71 Errol Street NORTH MELBOURNE VIC 3051,-37.803471,144.94923,To use the land for the sale and consumption of liquor in association with an existing restaurant,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198409
594 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8026001,144.9475865,Waiver/reduction of car parking requirements for an increase in the floor area,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198355
65-73 Mark Street NORTH MELBOURNE VIC 3051,-37.7934408,144.937066,Installation of a new mezzanine floor to existing factory,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198153
81-83 Flemington Road NORTH MELBOURNE VIC 3051,-37.798771,144.953164,Erection and display of temporary signage and hoarding.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198187
85 Flemington Road NORTH MELBOURNE VIC 3051,-37.79873,144.953067,Erection and display of temporary signage and hoarding.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198187
56-58 Lothian Street NORTH MELBOURNE VIC 3051,-37.801776,144.944883,Buildings and works for the construction of a louvered roof over the patio,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=198016
10 Canning Street NORTH MELBOURNE VIC 3051,-37.795675,144.944062,Partial demolition and buildings and works to the rear of existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197892
2 Atkin Street NORTH MELBOURNE VIC 3051,-37.8035893,144.9481436,Subdivision in accordance with PS643510P,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=77125
2-6 Glass Street NORTH MELBOURNE VIC 3051,-37.801895,144.949339,Subdivision in accordance with PS711523C,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197846
85-105 Sutton Street NORTH MELBOURNE VIC 3051,-37.7921926,144.9397481,Demolish existing building and develop on-grade carpark and relocate street crossover,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=77200
171-173 Melrose Street NORTH MELBOURNE VIC 3051,-37.790716,144.942351,Amendments to the plan to increase the building height and make various changes to the floor plans.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=76549
173 Melrose Street NORTH MELBOURNE VIC 3051,-37.790716,144.942351,Amendments to the plan to increase the building height and make various changes to the floor plans.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=76549
446-448 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.794545,144.9454,Construction of shed to rear of existing basketball court,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=76780
Part Ground 113 Errol Street NORTH MELBOURNE VIC 3051,-37.8022074,144.9494723,Construction and display of a business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=150719
578-586 Queensberry Street NORTH MELBOURNE VIC 3051,-37.802561,144.9478429,"External painting of the existing building, demolition of the existing fence and construction of a new fence",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=156163
714-720 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8022723,144.943249,Removal of easements and subdivision in accordance with PS635846Y,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197718
228 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.801137,144.944143,Subdivision in accordance with PS719208S,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=150708
230-232 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.8008868,144.9437807,Subdivision in accordance with PS719208S,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=150708
62-72 Mark Street NORTH MELBOURNE VIC 3051,-37.79312,144.937841,"Use existing office/warehouse as a place of worship and associated offices, construct and display  two business  identification signs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=118328
570-578 Victoria Street NORTH MELBOURNE VIC 3051,-37.80454,144.947069,Construction and display of business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=93554
19-35 Flemington Road NORTH MELBOURNE VIC 3051,-37.800685,144.955188,"Use land as an office (temporary display suite), associated buildings and works, construction and display of promotional signs and reduction in the car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197558
35 Lothian Street NORTH MELBOURNE VIC 3051,-37.80328,144.944165,"Partial demolition, alterations and additions to the existing dwelling",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197471
249 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.801418,144.945427,Buildings and works for alterations of and additions to the existing building including part demolition,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197382
65 Leveson Street NORTH MELBOURNE VIC 3051,-37.802867,144.950842,Partial demolition and construction of a double storey extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197396
4 Leveson Street NORTH MELBOURNE VIC 3051,-37.804729,144.951143,Part demolition and construction of a double storey extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197328
38 Stawell Street NORTH MELBOURNE VIC 3051,-37.803089,144.94315,Extend existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197356
453 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.794443,144.944619,3 lot subdivision in accordance with PS720345Y.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197166
11 Mattinglys Lane NORTH MELBOURNE VIC 3051,-37.8026217,144.9492669,"Construction of a new dwelling, including alterations",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197112
19-35 Flemington Road NORTH MELBOURNE VIC 3051,-37.800685,144.955188,"Demolition of the existing building and subsequent buildings and works associated with the use of the site for dwellings, shops, restaurant and a medical centre and a reduction in the car parking requirements (DPCD ref no. 2013005494)",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197116
23 Haines Street NORTH MELBOURNE VIC 3051,-37.799031,144.949288,Demolition of existing fence and reconstruction of fence to 2400mm height,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197118
570-578 Victoria Street NORTH MELBOURNE VIC 3051,-37.80454,144.947069,To use the land for the sale and consumption of liquor,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197119
41-61 Boundary Road NORTH MELBOURNE VIC 3051,-37.793831,144.938893,Use of the premises as an educational training facility,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196960
79-89 Leveson Street NORTH MELBOURNE VIC 3051,-37.8024021,144.9508937,Subdivision in accordance with PS644181B.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196973
109-111 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.803929,144.943,"Use of the site for the purposes of Motor Repairs, reduction in car parking requirements and the construction and display of a business identification sign",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196989
366-384 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803241,144.954954,Installation of advertising signage (hoarding) for the sale of real estate,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197034
93 Arden Street NORTH MELBOURNE VIC 3051,-37.800887,144.947489,Buildings and Works associated to amendments to the Architectural Plans,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196904
4-18 Brougham Street NORTH MELBOURNE VIC 3051,-37.793435,144.946295,Construction of shade sails over existing playground,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196808
29-33 Little Errol Street NORTH MELBOURNE VIC 3051,-37.803912,144.950055,Buildings and works for the installation of artwork on the building facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196592
62 Elm Street NORTH MELBOURNE VIC 3051,-37.8034779,144.9461744,"Part demolition of the existing dwelling, an extension to the rear of the dwelling, external alterations of the fa̤ade and the construction of a fence",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196442
18 Elm Place NORTH MELBOURNE VIC 3051,-37.8035754,144.9459613,"Part demolition of the existing dwelling, an extension to the rear of the dwelling, external alterations of the fa̤ade and the construction of a fence",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196442
161 Flemington Road NORTH MELBOURNE VIC 3051,-37.795816,144.949481,External painting of the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196168
399-405 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803848,144.954241,Demolition of existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196170
5 Haines Street NORTH MELBOURNE VIC 3051,-37.799141,144.949848,Paint front fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196186
142 Langford Street NORTH MELBOURNE VIC 3051,-37.795769,144.936891,Buildings and works for an increase in floor area and a reduction in the car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196261
1-3 Cobden Street NORTH MELBOURNE VIC 3051,-37.805605,144.956927,"Change of use to licensed restaurant , waiver of car parking requirements and minor buildings and works",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195689
2 Errol Street NORTH MELBOURNE VIC 3051,-37.8049722,144.949516,Construction and display of a business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195492
502-506 Victoria Street NORTH MELBOURNE VIC 3051,-37.8045204,144.9428712,Construction and display of a business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195492
25 Erskine Street NORTH MELBOURNE VIC 3051,-37.795146,144.944093,Buildings and works to demolish the existing fence and construction of a new fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195272
27 Erskine Street NORTH MELBOURNE VIC 3051,-37.795037,144.943994,Buildings and works to demolish the existing fence and construction of a new fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195272
199 Peel Street NORTH MELBOURNE VIC 3051,-37.802948,144.956153,To demolish the existing buildings and construct seven two-storey townhouses.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195275
199-217 Peel Street NORTH MELBOURNE VIC 3051,-37.802727,144.956203,To demolish the existing buildings and construct seven two-storey townhouses.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195275
201-203 Peel Street NORTH MELBOURNE VIC 3051,-37.802817,144.956176,To demolish the existing buildings and construct seven two-storey townhouses.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195275
3-5 Bedford Place NORTH MELBOURNE VIC 3051,-37.8014967,144.9559971,Construct a new 16 level residential building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195035
Ground 550 Queensberry Street NORTH MELBOURNE VIC 3051,-37.802752,144.948964,"Partial demolition, carrying out of works and the display of a business identification sign in accordance with the endorsed plans.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195007
3-5 Harker Street NORTH MELBOURNE VIC 3051,-37.7978912,144.9491723,Buildings and works to demolish the existing fence and construct a new fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=194902
499 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.794572,144.946687,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=194904
116-118 Errol Street NORTH MELBOURNE VIC 3051,-37.8022241,144.9502167,Alterations to balcony screening,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=194860
116 Errol Street NORTH MELBOURNE VIC 3051,-37.802275,144.950204,Alterations to balcony screening,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=194860
65-67 Flemington Road NORTH MELBOURNE VIC 3051,-37.799353,144.953975,Restaurant and Cafe Licence plus installation of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=194769
122-124 Langford Street NORTH MELBOURNE VIC 3051,-37.7960255,144.9367272,Use of the land for the purpose of a function centre and a reduction in the standard car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=194446
23-47 Villiers Street NORTH MELBOURNE VIC 3051,-37.7992333,144.9529329,Construction of a deck and verandah to the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=194093
13-15 Blackwood Street NORTH MELBOURNE VIC 3051,-37.80118,144.954803,Construction of buildings and works to replace the front window of the dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193971
15-27 Wreckyn Street NORTH MELBOURNE VIC 3051,-37.8001583,144.954289,Subdivision in accordance with PS716280A.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193911
24 Villiers Street NORTH MELBOURNE VIC 3051,-37.800131,144.953035,Subdivision in accordance with PS716280A.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193911
45-47 Little Leveson Street NORTH MELBOURNE VIC 3051,-37.8042937,144.9516652,"Part demolition, alterations and additions to an existing building for use as two dwellings in a Mixed Use Zone, HO and DDO",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193931
9 Canning Street NORTH MELBOURNE VIC 3051,-37.796821,144.945893,"Painting of the dwelling, installation of wrought iron lace work to vernandah and tessellated paving to path/verandah",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193867
117 Arden Street NORTH MELBOURNE VIC 3051,-37.8008734,144.9467462,Replacement of existing tin roof,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193869
5 Haines Street NORTH MELBOURNE VIC 3051,-37.799141,144.949848,Construction of a vehicle crossover to Haines Street,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193713
95 Errol Street NORTH MELBOURNE VIC 3051,-37.802652,144.949398,buildings and works to construct a new fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193726
101-133 Canning Street NORTH MELBOURNE VIC 3051,-37.7956395,144.9403008,Removal of Covenant in PS340533Q on Certificates of Title Volume 10231 Folios 253 and 256,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193742
"Unit 2, 28 Erskine Street NORTH MELBOURNE VIC 3051",-37.79445,144.944318,Replacement of timber picket fence and gate with steel screen and gate,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193743
133 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.803397,144.943097,"Partial demolition, alterations and first floor addition at the rear of existing dwelling, construction of a second dwelling (three storeys) and construction of a crossover to Stawell Street",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193748
22 Arden Street NORTH MELBOURNE VIC 3051,-37.800934,144.951807,Buildings and works to construction a garage door,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193508
139-145 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.8023404,144.9526485,"Amend the permit preamble and plans to allow 29 apartments on the ground and first floors to be used as serviced apartments (short-term accommodation), and display of one business identification sign",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193320
"Lot S3, Ground 55 Flemington Road NORTH MELBOURNE VIC 3051",-37.7997158,144.9545617,Buildings and works to construct a verandah,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=193220
16-20 Curzon Street NORTH MELBOURNE VIC 3051,-37.804354,144.948196,Painting the front facade and fence of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=192751
355-357 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.797421,144.944238,Demolition of a shed in a Heritage Overlay,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=192714
8 Carroll Street NORTH MELBOURNE VIC 3051,-37.795927,144.946009,Partial demolition and construction of alterations and additions to a single dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=192492
122-124 Errol Street NORTH MELBOURNE VIC 3051,-37.802049,144.950128,"Use of the land as an Office (temporary display suite), associated buildings and works, advertising signage and car parking dispensation in a Mixed Use Zone, Heirtage Overlay and Design and Development Overlay.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=192189
450 Victoria Street NORTH MELBOURNE VIC 3051,-37.805041,144.951278,Partial demolition and carrying out of alterations to existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=191917
36 Canning Street NORTH MELBOURNE VIC 3051,-37.79568,144.943044,Partial demolition and additions to the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=191589
163-173 Boundary Road NORTH MELBOURNE VIC 3051,-37.7894103,144.9397391,Alterations to the existing building and the display of advertising signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=191594
4 Atkin Street NORTH MELBOURNE VIC 3051,-37.8037272,144.9484911,Subdivision in accordance with PS641293F.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=191410
1-3 Boundary Road NORTH MELBOURNE VIC 3051,-37.7952634,144.9388938,Construction and display of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=191466
600 Victoria Street NORTH MELBOURNE VIC 3051,-37.804458,144.946327,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190983
130-140 Errol Street NORTH MELBOURNE VIC 3051,-37.801583,144.9499764,Subdivision in accordance with PS701452F.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190832
155-161 Boundary Road NORTH MELBOURNE VIC 3051,-37.789796,144.939566,Use of the premises as an educational training facility and a reduction in the car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190718
36 Shiel Street NORTH MELBOURNE VIC 3051,-37.796681,144.943312,Demolition of existing dwelling and construction of a new two-storey dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190713
52 Errol Street NORTH MELBOURNE VIC 3051,-37.80392,144.949822,Reduction to car and bicycle parking requirement in association with a medical centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190615
Ukrainian Catholic Church 35-37 Canning Street NORTH MELBOURNE VIC 3051,-37.796627,144.943766,"Use land for a child care centre and reduce car parking requirement, alterations and additions to building, construct ancillary works and display signs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190558
